Evaluation;Base Model Real data;Base Model Synthetic data;Synth Model	Real data;Synth model Synthetic data;Mixed Model	Real data;Mixed Model Synthetic data
Average Dataset CER;0.01391665;0.09836092;0.01391665;0.09836092;0.01391665;0.09836092
Average Model CER;0.01754558;0.19219267;0.02204702;0.15258657;0.01977127;0.19205506
Average Dataset WER;0.06207812;0.21986217;0.06207812;0.21986217;0.06207812;0.21986217
Average model WER;0.08189486;1.01884786;0.10260357;0.80281940;0.08723665;1.01686689
Average PCIS;-0.00377946;-0.09734535;-0.00842250;-0.06044562;-0.00617385;-0.10465669
